nl,t,yv,ya,m,ACT,sc
R12_AFR,coal_ppl_u,1990,2040,M1,0.07474572913737987,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,1995,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2030,M1,2.02855,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2035,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2040,M1,2.3783000000000003,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2000,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2030,M1,2.5317,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2035,M1,2.74995,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2040,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2045,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2005,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2030,M1,0.5749250000000001,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2035,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2040,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2045,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2010,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2015,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2020,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2025,M1,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2030,M1,1.8267824999999998,sv_2c_buffer_decoal
