nl,t,yv,inv_cost,sc
R12_EEU,coal_ppl,2045,1244.7590567899592,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2050,1223.33434337492,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2055,1205.3890943619328,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2060,1190.6919715453125,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2070,1169.1555865394644,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2080,1154.3932313712849,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2090,1143.4838385323872,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2100,1135.675110203288,sv_2c_buffer_decoal
R12_EEU,coal_ppl,2110,1135.675110203288,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2030,4190.077189739801,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2035,3977.3020238515255,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2040,3806.402028831088,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2045,3668.6283013474144,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2050,3557.9788403615516,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2055,3469.1772375357777,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2060,3398.2056653163504,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2070,3296.493989507118,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2080,3231.305425323685,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2090,3188.8375567009034,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2100,3161.306486401423,sv_2c_buffer_decoal
R12_EEU,coal_adv_ccs,2110,3161.306486401423,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2030,4453.9947664048395,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2035,4227.595084391368,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2040,4045.7731725584654,sv_2c_buffer_decoal
R12_EEU,igcc_ccs,2045,3899.230934375967,sv_2c_buffer_decoal
