nl,t,yv,ya,CAP,sc
R12_AFR,coal_ppl,2040,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2040,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2040,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2040,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2045,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2045,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2045,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2045,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2045,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2050,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2050,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2050,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2050,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2050,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2055,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2055,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2055,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2055,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2060,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2060,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2060,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2060,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2070,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2070,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2070,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2080,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2080,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2080,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2090,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2090,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2090,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2100,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2100,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl,2110,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1960,1960,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1965,1965,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,1970,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1970,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,1975,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1975,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,1980,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1980,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,1985,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2030,3.789326334608519,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1985,2035,3.789326334608519,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,1990,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2030,11.601000000000003,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2035,11.601000000000003,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1990,2040,11.601000000000003,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,1995,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2030,2.7980000000000005,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2035,2.7980000000000005,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,1995,2040,2.7980000000000005,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2000,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2030,3.492,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2035,3.492,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2040,3.492,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2000,2045,3.492,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2005,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2030,0.7930000000000001,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2035,0.7930000000000001,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2040,0.7930000000000001,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2005,2045,0.7930000000000001,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2010,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2030,2.5197,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2035,2.5197,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2040,2.5197,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2045,2.5197,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2010,2050,2.5197,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2015,2015,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2015,2030,0.79,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2015,2035,0.79,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2015,2040,0.79,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2015,2045,0.79,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2020,2020,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2020,2030,0.351,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2020,2035,0.351,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2020,2040,0.351,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2020,2045,0.351,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2025,2025,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2025,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2025,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2025,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2025,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2025,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2030,2030,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2030,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2030,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2030,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2030,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2030,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2035,2035,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2035,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2035,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2035,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2035,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2035,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2040,2040,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2040,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2040,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2040,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2040,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2040,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2045,2045,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2045,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2045,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2045,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2045,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2050,2050,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2050,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2050,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2050,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2050,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2055,2055,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2055,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2055,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2055,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2060,2060,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2060,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2060,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2060,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2070,2070,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2070,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2070,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2080,2080,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2080,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2080,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2090,2090,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2090,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2090,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2100,2100,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2100,2110,0.0,sv_2c_buffer_decoal
R12_AFR,coal_ppl_u,2110,2110,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2010,2010,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2010,2030,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2010,2035,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2015,2015,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2015,2030,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2015,2035,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2015,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2020,2020,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2020,2030,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2020,2035,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2020,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2020,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2025,2025,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2025,2030,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2025,2035,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2025,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2025,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2025,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2030,2030,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2030,2035,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2030,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2030,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2030,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2030,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2035,2035,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2035,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2035,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2035,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2035,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2035,2060,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2040,2040,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2040,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2040,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2040,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2040,2060,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2040,2070,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2045,2045,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2045,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2045,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2045,2060,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2045,2070,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2050,2050,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2050,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2050,2060,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2050,2070,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2050,2080,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2055,2055,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2055,2060,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2055,2070,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2055,2080,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2060,2060,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2060,2070,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2060,2080,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2060,2090,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2070,2070,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2070,2080,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2070,2090,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2080,2080,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2080,2090,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2080,2100,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2090,2090,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2090,2100,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2090,2110,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2100,2100,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2100,2110,0.0,sv_2c_buffer_decoal
R12_AFR,igcc,2110,2110,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2030,2030,0.0,sv_2c_buffer_decoal
R12_AFR,igcc_ccs,2030,2035,0.0,sv_2c_buffer_decoal
