nl,t,ya,m,ACT,sc
R12_CHN,gas_ct,2035,M1,93.22352158897408,sv_2c_buffer_decoal
R12_CHN,gas_ct,2040,M1,34.799858641234266,sv_2c_buffer_decoal
R12_CHN,gas_ct,2045,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2050,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2055,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2060,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2070,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2080,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2090,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2100,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ct,2110,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,1970,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,1975,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,1980,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,1985,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,1990,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,1995,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2000,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2005,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2010,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2015,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2020,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2025,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2030,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2035,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2040,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2045,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2050,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2055,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2060,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2070,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2080,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2090,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2100,M1,0.0,sv_2c_buffer_decoal
R12_CHN,gas_ppl,2110,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1960,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1965,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1970,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1975,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1980,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1985,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1990,M1,0.0,sv_2c_buffer_decoal
R12_EEU,gas_cc,1995,M1,0.0,sv_2c_buffer_decoal
