node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_MEA,coal_adv,2035,2050,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2040,2050,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2045,2050,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2050,2050,M2,year,0.0,USD/GWa
R12_AFR,coal_adv,2050,2060,M2,year,0.0,USD/GWa
R12_RCPA,coal_adv,2050,2060,M2,year,0.0,USD/GWa
R12_EEU,coal_adv,2050,2060,M2,year,0.0,USD/GWa
R12_FSU,coal_adv,2050,2060,M2,year,0.0,USD/GWa
R12_LAM,coal_adv,2050,2060,M2,year,0.0,USD/GWa
R12_MEA,coal_adv,2050,2060,M2,year,0.0,USD/GWa
R12_NAM,coal_adv,2050,2060,M2,year,0.0,USD/GWa
