node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,value,unit
R12_MEA,coal_adv_rccs,2055,2055,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2055,2060,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2055,2070,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2055,2080,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2060,2060,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2060,2070,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2060,2080,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2060,2090,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2070,2070,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2070,2080,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2070,2090,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2080,2080,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2080,2090,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2080,2100,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2090,2090,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2090,2100,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2090,2110,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2100,2100,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2100,2110,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_MEA,coal_adv_rccs,2110,2110,M4,R12_MEA,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2025,2025,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2025,2030,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2025,2035,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2025,2040,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2025,2045,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2025,2050,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2030,2030,M4,R12_NAM,electr,secondary,year,year,1,GWa
R12_NAM,coal_adv_rccs,2030,2035,M4,R12_NAM,electr,secondary,year,year,1,GWa
