node,technology,year_vtg,year_act,mode,time,type_addon,value,unit
R12_SAS,coal_adv,2040,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2040,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2045,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2050,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2045,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2050,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2050,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,2055,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2055,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,2060,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,2070,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,2080,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,2090,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,2100,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2060,2110,M4,year,coal_adv_rccs_addon,1,-
R12_SAS,coal_adv,2070,2070,M4,year,coal_adv_rccs_addon,1,-
